image_id;tma_number;roll;frame;view_direction;altitude;azimuth;date_year;date_month;date_day;cam_id;location
CA196233R0023;1962;33R;23;R;26000;251.517;1967;1;7;32;peninsula
CA184532V0198;1845;32V;198;V;19200;2.909;1966;12;27;32;peninsula
CA183331L0031;1833;31L;31;L;20380;1.110;1966;12;18;32;peninsula
CA182331L0029;1823;31L;29;L;20000;0.3139;1966;11;25;32;peninsula
CA181331L0117;1813;31L;117;L;20000;1.118;1966;0;0;32;peninsula
CA182532V0051;1825;32V;51;V;20380;2.925;1966;12;18;32;peninsula
CA183332V0071;1833;32V;71;V;20380;1.110;1966;12;18;32;peninsula
CA216432V0236;2164;32V;236;V;;1.121;1969;1;12;32;peninsula
CA216431L0188;2164;31L;188;L;;1.121;1969;1;12;32;peninsula
CA182631L0107;1826;31L;107;L;20380;1.133;1966;12;18;32;peninsula
CA181631L0145;1816;31L;145;L;16000;1.120;1966;0;0;32;peninsula
CA184332V0035;1843;32V;35;V;19200;1.108;1966;12;27;32;peninsula
CA183333R0108;1833;33R;108;R;20380;1.110;1966;12;18;32;peninsula
CA182133R0050;1821;33R;50;R;16000;2.849;1966;11;18;32;peninsula
CA207533R0355;2075;33R;355;R;;2.799;1967;12;0;32;peninsula
CA183133R0026;1831;33R;26;R;20360;1.038;1966;12;18;32;peninsula
CA207433R0166;2074;33R;166;R;;1.033;1967;12;0;32;peninsula
CA181533R0026;1815;33R;26;R;23300;1.121;1966;0;0;32;peninsula
CA183031L0020;1830;31L;20;L;23300;1.029;1966;0;0;32;peninsula
CA196531L0017;1965;31L;17;L;26000;2.933;1967;1;7;32;peninsula
CA182531L0099;1825;31L;99;L;20380;2.925;1966;12;18;32;peninsula
CA181632V0056;1816;32V;56;V;16000;1.120;1966;0;0;32;peninsula
CA183333R0016;1833;33R;16;R;20380;1.110;1966;12;18;32;peninsula
CA196632V0055;1966;32V;55;V;26000;2.899;1967;1;7;32;peninsula
CA181633R0151;1816;33R;151;R;16000;1.120;1966;0;0;32;peninsula
CA196931L0158;1969;31L;158;L;26000;1.111;1967;1;7;32;peninsula
CA182332V0071;1823;32V;71;V;20000;0.3139;1966;11;25;32;peninsula
