image_id;tma_number;roll;frame;view_direction;altitude;azimuth;date_year;date_month;date_day;cam_id;location
CA207533R0348;2075;33R;348;R;;2.799;1967;12;0;32;peninsula
CA182332V0091;1823;32V;91;V;20000;0.3139;1966;11;25;32;peninsula
CA174331L0226;1743;31L;226;L;25000;2.913;1966;1;29;32;peninsula
CA180733R0028;1807;33R;28;R;20000;2.870;1966;0;0;32;peninsula
CA182631L0071;1826;31L;71;L;20380;1.133;1966;12;18;32;peninsula
CA180133R0093;1801;33R;93;R;;1.139;1966;0;0;32;peninsula
CA182132V0079;1821;32V;79;V;16000;2.849;1966;11;18;32;peninsula
CA214231L0168;2142;31L;168;L;;2.967;1968;12;23;32;peninsula
CA182331L0086;1823;31L;86;L;20000;0.3139;1966;11;25;32;peninsula
CA181833R0024;1818;33R;24;R;20700;1.109;1966;0;0;32;peninsula
CA182931L0041;1829;31L;41;L;20150;2.851;1966;12;18;32;peninsula
CA183432V0031;1834;32V;31;V;20500;3.586;1966;11;28;32;peninsula
CA184931L0272;1849;31L;272;L;19200;2.837;1966;12;27;32;peninsula
CA196732V0071;1967;32V;71;V;26000;1.079;1967;1;7;32;peninsula
CA181231L0073;1812;31L;73;L;20340;2.867;1966;12;18;32;peninsula
